gene id	miRNA
460	hsa-miR-374a-5p
460	hsa-miR-23b-3p
60676	hsa-miR-27a-3p
27	hsa-miR-30b-5p
27	hsa-miR-137
27	hsa-miR-23b-3p
55103	hsa-miR-374a-5p
9857	hsa-miR-100-5p
163590	hsa-miR-21-5p
163590	hsa-miR-374a-5p
163589	hsa-miR-374a-5p
163589	hsa-miR-23b-3p
126859	hsa-miR-193b-3p
126859	hsa-miR-27a-3p
89884	hsa-miR-374a-5p
89884	hsa-miR-137
9213	hsa-miR-374a-5p
3140	hsa-miR-17-3p
3140	hsa-miR-374a-5p
3140	hsa-miR-27a-3p
777	hsa-miR-27a-3p
777	hsa-miR-137
777	hsa-miR-497-5p
1660	hsa-miR-10a-5p
1660	hsa-miR-10b-5p
1660	hsa-miR-27b-3p
3915	hsa-miR-199a-5p
54823	hsa-miR-374a-5p
116496	hsa-miR-183-5p
116496	hsa-miR-302a-3p
116496	hsa-miR-520f-3p
116496	hsa-miR-374a-5p
83872	hsa-miR-23b-3p
54953	hsa-miR-100-5p
54953	hsa-miR-374a-5p
5321	hsa-miR-372-3p
5321	hsa-miR-139-5p
339479	hsa-miR-17-3p
339479	hsa-miR-374a-5p
64407	hsa-miR-374a-5p
79577	hsa-miR-374a-5p
51022	hsa-miR-374a-5p
10877	hsa-miR-27a-3p
10877	hsa-miR-137
163486	hsa-miR-374a-5p
23418	hsa-miR-17-3p
23418	hsa-miR-137
5788	hsa-miR-376a-5p
5788	hsa-miR-27a-3p
5788	hsa-miR-139-5p
9928	hsa-miR-302a-3p
9928	hsa-miR-520f-3p
9928	hsa-miR-21-5p
9928	hsa-miR-137
91156	hsa-miR-30e-3p
91156	hsa-miR-27a-3p
91156	hsa-miR-137
91156	hsa-miR-139-5p
89796	hsa-miR-374a-5p
89796	hsa-miR-497-5p
1465	hsa-miR-374a-5p
1465	hsa-miR-137
1999	hsa-miR-376a-5p
1999	hsa-miR-374a-5p
10765	hsa-miR-374a-5p
10765	hsa-miR-27a-3p
9877	hsa-miR-302a-3p
9877	hsa-miR-520c-3p
493	hsa-miR-374a-5p
493	hsa-miR-23b-3p
22874	hsa-miR-520f-3p
22874	hsa-miR-520c-3p
